grid_ix,grid_iy,dl
0,0,0.0
1,0,0.0
2,0,6.2736
3,0,2.3434
4,0,35.2534
5,0,11.6613
6,0,27.6389
7,0,7.258
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
0,1,0.0
1,1,0.0
2,1,8.0749
3,1,7.1454
4,1,256.7401
5,1,4.1326
6,1,104.7995
7,1,117.7151
8,1,60.1798
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
0,2,0.0
1,2,0.0
2,2,11.2795
3,2,0.1678
4,2,207.6731
5,2,159.4849
6,2,1.4693
7,2,0.0872
8,2,93.3479
9,2,18.1941
10,2,40.6528
11,2,0.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,0.0
16,2,0.0
17,2,0.0
0,3,0.0
1,3,0.5329
2,3,1079.4462
3,3,104.6271
4,3,46.1772
5,3,64.8423
6,3,65.42
7,3,199.0197
8,3,191.9083
9,3,36.4172
10,3,46.9782
11,3,1.3504
12,3,0.0
13,3,0.0
14,3,0.0
15,3,0.0
16,3,0.0
17,3,0.0
0,4,0.4328
1,4,0.2506
2,4,1.9459
3,4,47.484
4,4,44.725
5,4,56.1646
6,4,61.6656
7,4,22.0934
8,4,8.9148
9,4,26.2074
10,4,47.8246
11,4,9.2638
12,4,0.0
13,4,0.0
14,4,0.0
15,4,0.0
16,4,0.0
17,4,0.0
0,5,0.9465
1,5,5.7749
2,5,31.2374
3,5,2.495
4,5,58.7356
5,5,96.7234
6,5,9.1646
7,5,61.5356
8,5,2.7006
9,5,573.8052
10,5,4.807
11,5,0.546
12,5,195.662
13,5,0.0
14,5,0.0
15,5,0.0
16,5,0.0
17,5,0.0
0,6,2.0968
1,6,2.7724
2,6,4.2189
3,6,61.7143
4,6,3.7227
5,6,7.5287
6,6,6.0854
7,6,39.184
8,6,4.8663
9,6,2.6345
10,6,2.1036
11,6,1.22
12,6,16.8829
13,6,4.6063
14,6,0.1468
15,6,0.0
16,6,0.0
17,6,0.0
0,7,2.6738
1,7,1.086
2,7,115.5001
3,7,4.6829
4,7,2.4362
5,7,7.1901
6,7,2.0245
7,7,1.0452
8,7,3.6735
9,7,0.6722
10,7,3.8446
11,7,6.8936
12,7,7.3019
13,7,4.979
14,7,1.5045
15,7,0.1468
16,7,0.0
17,7,0.0
0,8,5.8669
1,8,2.31
2,8,19.2657
3,8,0.2458
4,8,0.5416
5,8,3.2636
6,8,22.2295
7,8,2.1534
8,8,3.7005
9,8,0.2303
10,8,4.7361
11,8,13.8145
12,8,133.0613
13,8,19.5717
14,8,54.4776
15,8,0.7454
16,8,0.0
17,8,0.0
0,9,0.4937
1,9,2.0563
2,9,1.8723
3,9,0.2959
4,9,3.7972
5,9,0.2224
6,9,100.8317
7,9,19.0814
8,9,20.1571
9,9,8.7773
10,9,8.8335
11,9,7.0071
12,9,8.3199
13,9,217.3892
14,9,26.713
15,9,0.0
16,9,0.0
17,9,0.0
0,10,0.0
1,10,45.3518
2,10,36.2644
3,10,0.4377
4,10,0.0582
5,10,0.6251
6,10,0.995
7,10,9.4651
8,10,6.6069
9,10,4.3726
10,10,9.1867
11,10,152.7837
12,10,1.7544
13,10,10.274
14,10,11.6022
15,10,2.5459
16,10,94.7405
17,10,0.1585
0,11,0.0
1,11,0.0
2,11,0.0
3,11,0.0
4,11,0.0
5,11,0.6251
6,11,0.0
7,11,0.5081
8,11,3.2675
9,11,0.0064
10,11,0.0582
11,11,1.0677
12,11,1.9891
13,11,0.0
14,11,136.0094
15,11,12.3568
16,11,206.3904
17,11,0.0687
0,12,0.0
1,12,0.0
2,12,0.0
3,12,0.0
4,12,0.0
5,12,0.0
6,12,0.0
7,12,0.0
8,12,0.0
9,12,0.0
10,12,0.0
11,12,0.3639
12,12,0.0
13,12,0.0555
14,12,0.0531
15,12,0.1108
16,12,15.407
17,12,0.0
0,13,0.0
1,13,0.0
2,13,0.0
3,13,0.0
4,13,0.0
5,13,0.0
6,13,0.0
7,13,0.0
8,13,0.0
9,13,0.0
10,13,0.0
11,13,0.0
12,13,0.4154
13,13,441.0662
14,13,0.3422
15,13,3.6459
16,13,0.0
17,13,0.0
